time,m1,m2,m3,m4
1385512277.863903,44326,33196,46114,36364
1385512277.876533,45141,32487,45947,36425
1385512277.890846,44789,32325,46313,36573
1385512277.906524,45311,32287,45385,37017
1385512277.924995,45693,32163,45513,36631
1385512277.936713,44546,32802,46646,36006
1385512277.951716,44695,32774,46675,35856
1385512277.98146,46257,32667,45433,35643
1385512277.997317,44827,33371,46665,35137
1385512278.000634,46208,32947,45276,35569
1385512278.018688,46399,32984,45221,35396
1385512278.037095,45947,33635,45255,35163
1385512278.04789,44812,33382,46512,35294
1385512278.056078,45886,33141,45266,35707
1385512278.066968,44830,32947,46522,35701
1385512278.078523,45858,33069,45084,35989
1385512278.09714,45686,33199,45228,35887
1385512278.10779,44203,33185,46571,36041
1385512278.12733,44244,32630,46640,36486
1385512278.137788,46055,32259,44875,36811
1385512278.156717,44288,33174,47258,35280
1385512278.168695,46351,32449,45573,35627
1385512278.187066,45885,32989,45965,35161
1385512278.198052,43021,34008,47953,35018
1385512278.218549,43011,33602,48115,35272
1385512278.230723,44913,32732,46509,35846
1385512278.234102,43199,33569,47535,35697
1385512278.245742,44882,32986,46520,35612
1385512278.279764,44372,33128,46246,36254
1385512278.290979,44942,32963,46086,36009
1385512278.306144,45038,33309,45648,36005
1385512278.321185,45563,33225,44639,36573
1385512278.335203,45840,32554,44256,37350
1385512278.35069,45399,32947,44921,36733
1385512278.354093,37046,41400,35172,46382
1385512278.37043,37041,41647,35871,45441
1385512278.38141,37208,40744,36760,45288
1385512278.399852,37941,40144,38401,43514
1385512278.411449,38649,40416,38175,42760
1385512278.430463,38371,39111,40111,42407
1385512278.441308,39212,38876,39076,42836
1385512278.459746,39432,38772,40980,40816
1385512278.471531,39042,39175,41052,40731
1385512278.491428,40647,36709,41061,41583
1385512278.521732,41481,36921,41247,40351
1385512278.540314,40332,36399,42622,40647
1385512278.567019,40171,36864,43773,39192
1385512278.581936,42358,35848,41782,40012
1385512278.596191,41021,36539,43891,38549
1385512278.608946,43192,36090,42290,38428
1385512278.62743,41322,36680,43802,38196
1385512278.638328,43673,35177,41719,39431
1385512278.657547,42610,36595,43448,37347
1385512278.669774,44126,35993,42492,37389
1385512278.688174,42474,35926,44006,37594
1385512278.698968,43838,35193,42568,38401
1385512278.718747,43027,35248,44089,37636
1385512278.729401,44709,35184,42879,37228
1385512278.747702,43076,35231,44436,37257
1385512278.777816,44796,34010,42750,38444
1385512278.789369,43893,34127,44311,37669
1385512278.80871,45538,34208,43158,37096
1385512278.820495,44051,34745,44601,36603
1385512278.839653,44753,34292,43921,37034
1385512278.851315,43560,34098,44702,37640
1385512278.865945,34594,43438,35780,46188
1385512278.87802,35607,43006,35533,45854
1385512278.905418,35488,43030,38380,43102
1385512278.916428,37121,42725,37147,43007
1385512278.934757,37158,41269,39060,42513
1385512278.945568,37975,41350,39067,41608
1385512278.964554,39876,40507,38582,41035
1385512278.975957,39089,39952,39399,41560
1385512278.994343,40661,40182,39087,40070
1385512279.006555,41344,38539,39108,41009
1385512279.025341,39762,39751,41398,39089
1385512279.037101,41423,38773,40031,39773
1385512279.059744,40302,39364,41812,38522
1385512279.0781,42196,37627,41024,39153
1385512279.08899,41299,38024,42413,38264
1385512279.108125,41880,38389,41630,38101
1385512279.123517,42070,37581,42146,38203
1385512279.124747,40954,37998,43584,37464
1385512279.141326,41505,39017,42605,36873
1385512279.152103,42623,38139,41967,37271
1385512279.167294,41736,37568,43120,37576
1385512279.182366,43404,37630,42278,36688
1385512279.197417,41535,37460,43255,37750
1385512279.209309,43526,36176,42376,37922
1385512279.227619,42131,38119,43329,36421
1385512279.242577,42564,37298,43400,36738
1385512279.257228,43210,36213,43040,37537
1385512279.26886,42753,37251,43849,36147
1385512279.287838,43293,36194,43173,37340
1385512279.29952,41687,36280,44565,37468
1385512279.318894,43256,36281,43860,36603
1385512279.329717,41397,37483,45313,35807
1385512279.337963,42979,36116,43615,37290
1385512279.348799,41839,36117,44867,37177
1385512279.379632,41470,37673,45658,35199
1385512279.390582,43412,36763,43662,36163
1385512279.410333,42104,36147,44614,37135
1385512279.42101,43353,36040,44257,36350
1385512279.44198,43442,37127,44132,35299
1385512279.452894,40944,37643,45878,35535
1385512279.472091,42294,35937,44998,36771
1385512279.482868,42096,36346,44964,36594
1385512279.498888,41578,36584,45874,35964
1385512279.510769,42819,36198,44303,36680
1385512279.529653,42463,35124,44775,37638
1385512279.541738,41394,35433,45956,37217
1385512279.561001,41311,35535,46571,36583
1385512279.573709,41912,35093,45414,37581
1385512279.592259,41171,35123,45671,38035
1385512279.603401,43187,34235,44573,38005
